id,job_title,rating,company_name,location,headquarters,size,founded,type_of_ownership,industry,sector,revenue,competitors,hourly,employer_provided,lower_salary,upper_salary,job_location,age,python,spark,aws,excel,sql_,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,degree,City,State,estimated_revenue,avg_salary
826,"Assistant Director/Director, Office Of Data Science",3.3,Liberty Mutual Insurance,"Boston, MA","Boston, Ma",10000+,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm",0,0,39000,67000,MA,109.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Other,M,Boston,Ma,500000.0,53000.0
827,Sr. Data Engineer | Big Data Saas Pipeline,2.7,Bridg,"Los Angeles, CA","Los Angeles, Ca",Jan-50,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Unknown,0,0,71000,135000,CA,10.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,Data Engineer,Sr,Unknown,Los Angeles,Ca,500000.0,103000.0
828,Senior Risk Data Scientist,3.8,Bill.Com,"Palo Alto, CA","Palo Alto, Ca",501 - 1000,2006,Company - Public,Financial Transaction Processing,Finance,$50 to $100 million (USD),Unknown,0,0,107000,172000,CA,15.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Data Scientist,Sr,M,Palo Alto,Ca,500000.0,139500.0
829,Data Scientist In Artificial Intelligence Early Career,3.8,Pacific Northwest National Laboratory,"Richland, WA","Richland, Wa",1001 - 5000,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,49000,85000,WA,56.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Data Scientist,Other,M,Richland,Wa,500000.0,67000.0
830,Consultant - Analytics Consulting,3.0,Infosys,"Hartford, CT","Bengaluru, India",10000+,1981,Company - Public,It Services,Information Technology,$10+ billion (USD),"Tata Consultancy Services, Accenture, Cognizant Technology Solutions",0,0,54000,71000,CT,40.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Analitics,Other,Unknown,Hartford,Ct,500000.0,62500.0
831,Scientist - Cvrm Metabolism - In Vivo Pharmacology,3.9,Astrazeneca,"Gaithersburg, MD","Cambridge, United Kingdom",10000+,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis",0,0,61000,123000,MD,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Other,Unknown,Gaithersburg,Md,500000.0,92000.0
832,Data Analyst,3.6,Axion Healthcare Solutions,"New York, NY","New York, Ny",Jan-50,1980,Company - Private,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD),"The Execu|Search Group, Prime Staffing",0,0,47000,85000,NY,41.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Analyst,Other,Unknown,New York,Ny,500000.0,66000.0
836,Data Engineer,3.5,Alignment Healthcare,"Orange, CA","Orange, Ca",501 - 1000,2013,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,Unknown,0,0,65000,124000,CA,8.0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,Data Engineer,Other,M,Orange,Ca,500000.0,94500.0
837,Data Scientist,3.6,Tranzact,"Fort Lee, NJ","Fort Lee, Nj",1001 - 5000,1989,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,Unknown,0,0,87000,141000,NJ,32.0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,Data Scientist,Other,Unknown,Fort Lee,Nj,500000.0,114000.0
838,Data Scientist,4.2,Execonline,"New York, NY","New York, Ny",51 - 200,2012,Company - Private,Education Training Services,Education,Unknown / Non-Applicable,"Harvard Business School, Coursera, edX",0,0,56000,95000,NY,9.0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,Data Scientist,Other,Unknown,New York,Ny,500000.0,75500.0
